соответствии	10 10
требованиями	1 1
стандарта	1 1
образования	1 3
целью	18 21
приобретения	5 3
практических	3 1
области	4 12
оценки	5 23
экономических	7 12
показателей	25 9
характеризующих	1 2
производственно	2 5
деятельность	16 17
фирмы	31 96
оно	3 3
проведении	1 2
занятий	1 3
рамках	4 14
работы	27 9

работа	1 1
данным	4 4
освоение	1 3
позволяет	5 24
освоить	1 1
основные	28 26
положения	2 3

в	139 48
результате	8 4
изучения	3 3
данного	4 9
курса	1 1
должны	2 19
особенности	4 11
сложной	1 1
социально	2 13
объекта	6 3
сущность	4 6
основных	124 15
категорий	5 1
составляющих	1 1
взаимосвязь	3 2
ними	2 4
законодательные	1 4
акты	1 2
составляющие	1 1
нормативно	3 1
методики	1 3
решения	4 18
задач	2 4
профессиональной
деятельности	1 1
способы	3 5
расчета	23 1
технико	4 1
основе	19 30
анализа	5 27
правовых	6 3
источников	3 7
анализировать	1 2
информацию	1 7
необходимую	2 1
на
основе	2 3
методик	2 1
эффективности	12 8
использования	49 14
затрат	59 25
результатов	2 7
деятельности	46 57
выбирать	1 2
средства	50 10
обработки	1 2
исходной	2 1
сбора	1 10
информации	1 54
существующих	1 7
способностью	1 2
обоснования	2 2
вариантов	2 4
управленческих	4 1
решений	2 20
хозяйственной	11 2
базе	3 4
экономики	3 20
обучения	1 1
организационно	11 2
правовые	3 3
формы	10 28
1	103 44
роль	3 21
место	1 12
предприятия	104 58
–	330 142
организация	4 8
ту	2 7
иную	1 2
реализации	14 24
своей	3 9
услуг	13 40
целях	1 1
удовлетворения	5 5
получения	8 10
прибыли	52 24

предприятие	2 1
представляет	9 14
собой	10 20
организации	37 22
этим	1 5
прежде	3 14
основной	10 8
которой	6 19
производство	26 26
продукции	278 54
либо	6 28
получение	2 7

фирма	2 4
это	41 96
структурная	1 1
внешнеэкономической	1 4
среде	1 4
продажи	7 32
товаров	6 84

фирмы	1 3
могут	21 58
крупные	2 6
организационные	4 1
коммерческой	1 4
выделяют	4 4
понятие	3 6
понятия	1 3
некоммерческие	5 1
которых	20 27
является	20 64
достижение	1 5
эффекта	5 1
главным	1 1
экологического	1 1
т	50 83
д	14 41
систематическое	1 1
время	11 25
получать	3 2
прибыль	82 5
целей	5 27

понятие	3 2
существуют	8 12
людьми	1 2
взаимоотношениях	1 1
основная	4 5
идея	1 2
объединение	5 3
ресурсов	12 11
лиц	13 8
одной	3 26
главной	2 2
цели	11 22
осуществляться	1 3
различных	5 31
сферах	1 2
экономической	5 5
коммерческие	8 4
культурной	1 5
социальной	1 2
др	3 19

если	6 7
участники	23 1
имеют	2 12
общей	12 4
существует	1 5
так
как	1 2
главное	1 1
условие	1 1
создания	3 6
обобщенном	1 1
виде	7 16
целями	1 3
являются	13 41

1	15 46
создание	2 19
результата	3 1
участников	19 8

2	28 49
остальных	1 2
внешних	4 15
обладает	1 1
соответствующих	2 4
отношений	1 20
рассматривается	1 3
юридическое	1 1
лицо	3 2
внимание	1 6
экономический	1 5
аспект	1 1
фирма	9 41
предприятие	29 16
точки	4 9
зрения	1 9
единица	2 1
ресурсы	5 8
факторы	15 37
производства	77 59

чтобы	3 4
посредством	1 4
изготовления	9 2
единицы	32 4
2	83 37
ст	2 1
50	7 1
учетом	8 25
положений	2 1
закона	1 2
изменений	2 6
4	85 20
части	7 5
первой	2 1
гражданского	1 2
силу	2 5
отдельных	7 22
законодательных	1 1
юридические	3 2
лица	10 5
организациями	6 4
следующих	6 3
форм	6 6
рис	6 9
хозяйственных	7 1
обществ	6 1

3	22 50

4	16 37
производственных	34 9
предприятий	9 18


рис	6 5
коммерческих	4 5
потребительских	4 7
которым	8 5
относятся	26 23
числе	14 4
общества	13 9
потребительские	1 3
общественных	4 1
организаций	10 9
политические	1 2
качестве	6 15
общественные	3 1
органы	1 2
общественной	1 5
объединения	1 3
